score_metric,playerId,player,position,team,conference,category,statType,stat
2024,184812,Calvin Moore,CB,Cal Poly,Big Sky,defensive,PD,0.0
2024,5083645,Jordan Jenkins,DB,Indiana State,MVFC,defensive,TD,0.0
2024,5083650,Tony Roberts,DB,Indiana State,MVFC,defensive,QB HUR,0.0
2024,5083650,Tony Roberts,DB,Indiana State,MVFC,defensive,PD,0.0
2024,5083646,Payton Edwards,DB,Youngstown State,MVFC,defensive,TOT,3.0
2024,5083646,Payton Edwards,DB,Youngstown State,MVFC,defensive,TFL,0.0
2024,5083646,Payton Edwards,DB,Youngstown State,MVFC,defensive,TD,0.0
2024,5083646,Payton Edwards,DB,Youngstown State,MVFC,defensive,SOLO,1.0
2024,5083646,Payton Edwards,DB,Youngstown State,MVFC,defensive,SACKS,0.0
2024,5083646,Payton Edwards,DB,Youngstown State,MVFC,defensive,QB HUR,0.0
